model_name,input_ref,series_colname,timestamp_colname,target_colname,forecast_periods,time_grain,enabled
fact_care_gap_ff_snowflake_ml_forecast,vw_fact_care_gap_ff_fcast,health_plan,vb_report_month,member_count,12,monthly,true
fact_high_utilizer_fcast_snowflake_ml_forecast,vw_fact_high_utilizer_fcast,fqhc,visit_month,total_ed_visits,12,monthly,true
fact_care_gaps_fqhc_ml_fcast,vw_fact_care_gaps_fqhc_fcast,fqhc,gap_month,total_open_care_gaps,12,monthly,true
fact_care_gaps_fqhc_member_count_ml_fcast,vw_fact_care_gaps_fqhc_fcast,fqhc,gap_month,member_count,12,monthly,true
fact_care_gaps_fqhc_open_care_gaps_ml_fcast,vw_fact_care_gaps_fqhc_fcast,fqhc,gap_month,open_care_gaps_count,12,monthly,true
fcast_care_gaps__fqhc__backlog_open_care_gaps,vw_mart_care_gaps_monthly__by_fqhc,fqhc_short,report_month,backlog_open_care_gaps,12,monthly,true
fcast_care_gaps__fqhc__eligible_open_care_gaps,vw_mart_care_gaps_monthly__by_fqhc,fqhc_short,report_month,eligible_open_care_gaps,12,monthly,true
fcast_care_gaps__fqhc__eligible_closed_care_gaps,vw_mart_care_gaps_monthly__by_fqhc,fqhc_short,report_month,eligible_closed_care_gaps,12,monthly,true
fcast_care_gaps__fqhc__closure_rate,vw_mart_care_gaps_monthly__by_fqhc,fqhc_short,report_month,closure_rate,12,monthly,true
fcast_care_gaps__fqhc__er_visit_count,vw_mart_care_gaps_monthly__by_fqhc,fqhc_short,report_month,er_visit_count,12,monthly,true
